Company_Name,Website,Location,Minimum Project Size,Average Hourly Rate,Number of Employees,Percent AI Service Focus,Ciudad,Estado,Pais,Disponibilidad_MinProject,Disponibilidad_HourlyRate,Employees_Num,Tamaño_Empleados,Clasificación por número de empleados,Tipo de proveedor / segmento de análisis,Segmentación servicios AI,Descripción Segmentación,Clasificación por regiones,Transparencia_Comercial,continent,country,iso_code,conteo_pais
SoftarexTechnologies,https://softarex.com/,"Alexandria, VA","$25,000+",$25 - $49 / hr,50 - 249,35%,Alexandria,VA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
INTERSOG,https://intersog.com/,"Chicago, IL","$5,000+",$50 - $99 / hr,50 - 249,35%,Chicago,IL,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
DynamindLabs,https://dynamindlabs.ai,"Montevideo, Uruguay","$5,000+",$50 - $99 / hr,2 - 9,100%,Montevideo,,Uruguay,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Sur,2,South America,Uruguay,URY,22
TEONITE,https://teonite.com,"Szczecin, Poland","$25,000+",$100 - $149 / hr,10 - 49,30%,Szczecin,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
XevenSolutions,http://www.xevensolutions.com,"Lahore, Pakistan","$10,000+",$25 - $49 / hr,50 - 249,10%,Lahore,,Pakistan,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Pakistan,PAK,61
bonsai.tech,https://bonsai.tech,"Zagreb, Croatia","$10,000+",$100 - $149 / hr,10 - 49,50%,Zagreb,,Croatia,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,Croatia,HRV,17
AmpleInsight,https://www.ampleinsight.com,"Brampton, Canada","$10,000+",$100 - $149 / hr,10 - 49,50%,Brampton,,Canada,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,2,North America,Canada,CAN,126
BugendaiTechPvtLtd,https://bugendaitech.com/,"Scottsdale, AZ","$1,000+",$100 - $149 / hr,50 - 249,10%,Scottsdale,AZ,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
Addevice,http://addevice.io/,"Yerevan, Armenia","$5,000+",$25 - $49 / hr,10 - 49,10%,Yerevan,,Armenia,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Armenia,ARM,11
NVT,https://nvt.pl/,"Warszawa, Poland","$25,000+",$25 - $49 / hr,10 - 49,20%,Warszawa,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
HiddenBrainsInfoTech,https://www.hiddenbrains.com,"Ahmedabad, India","$10,000+",$25 - $49 / hr,250 - 999,10%,Ahmedabad,,India,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
ServReality,http://www.servreality.com,"Kyiv, Ukraine","$5,000+",$25 - $49 / hr,50 - 249,30%,Kyiv,,Ukraine,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Ukraine,UKR,92
HoneycombSoftware,http://www.honeycombsoft.com/,"London, United Kingdom","$10,000+",$25 - $49 / hr,50 - 249,10%,London,,United Kingdom,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,United Kingdom,GBR,304
Leaware,https://www.leaware.com/,"Toruń, Poland","$5,000+",$50 - $99 / hr,50 - 249,10%,Toruń,,Poland,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
KyanonDigital,http://kyanon.digital,"Ho Chi Minh, Vietnam","$10,000+",$25 - $49 / hr,50 - 249,10%,Ho Chi Minh,,Vietnam,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Vietnam,VNM,29
ProVisionLab,https://provisionlab.com/,"Kyiv, Ukraine","$10,000+",$50 - $99 / hr,10 - 49,50%,Kyiv,,Ukraine,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,Ukraine,UKR,92
DLabs.AI,https://dlabs.ai/,"Gdańsk, Poland","$10,000+",$50 - $99 / hr,10 - 49,100%,Gdańsk,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,2,Europe,Poland,POL,147
Arttteo,https://www.arttteo.com/,"T'bilisi, Georgia","$10,000+",$25 - $49 / hr,50 - 249,20%,T'bilisi,,Georgia,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Georgia,GEO,4
Zensoft.io,https://zensoft.io/,"San Francisco, CA","$10,000+",$25 - $49 / hr,50 - 249,25%,San Francisco,CA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
ICanInfotech,https://icaninfotech.com/,"Toronto, Canada","$1,000+",$25 - $49 / hr,50 - 249,10%,Toronto,,Canada,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,Canada,CAN,126
WebOccultTechnologies,https://www.weboccult.com/,"Ahmedabad, India","$1,000+",< $25 / hr,50 - 249,60%,Ahmedabad,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,2,Asia,India,IND,441
Lexunit,http://www.lexunit.hu/en,"Budapest, Hungary","$5,000+",$25 - $49 / hr,10 - 49,40%,Budapest,,Hungary,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Hungary,HUN,6
Objective,https://www.objectiveit.com,"Great Baddow, United Kingdom","$5,000+",$100 - $149 / hr,10 - 49,10%,Great Baddow,,United Kingdom,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,United Kingdom,GBR,304
eidos.ai,https://eidos.ai/,"Montevideo, Uruguay","$10,000+",$50 - $99 / hr,10 - 49,85%,Montevideo,,Uruguay,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Sur,2,South America,Uruguay,URY,22
KnoldusInc.,https://www.knoldus.com/connect/contact-us,"Mississauga, Canada","$75,000+",$50 - $99 / hr,250 - 999,15%,Mississauga,,Canada,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,Canada,CAN,126
Convergence,https://cctech.io,"Vancouver, Canada","$50,000+",$100 - $149 / hr,10 - 49,10%,Vancouver,,Canada,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,Canada,CAN,126
TheDataAnalysisBureau,https://www.t-dab.com,"London, United Kingdom","$10,000+",$100 - $149 / hr,10 - 49,65%,London,,United Kingdom,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,United Kingdom,GBR,304
OneTeamUSLLC,https://oneteam.us,"Dammam, Saudi Arabia","$5,000+",$50 - $99 / hr,50 - 249,10%,Dammam,,Saudi Arabia,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Oriente Medio,2,Middle East,Saudi Arabia,SAU,5
TechmateTechLLC,https://techmatetech.com/,"Lahore, Pakistan","$5,000+",$25 - $49 / hr,10 - 49,20%,Lahore,,Pakistan,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,Pakistan,PAK,61
BJSS,https://www.bjss.com/,"Leeds, United Kingdom","$50,000+",$200 - $300 / hr,"1,000 - 9,999",10%,Leeds,,United Kingdom,Informado,Informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,United Kingdom,GBR,304
NIX,https://nix-united.com/services/business-intelligence-services-bi/,"Saint Petersburg, FL","$25,000+",$50 - $99 / hr,"1,000 - 9,999",10%,Saint Petersburg,FL,USA,Informado,Informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
OyelabsTechnologies,http://oyelabs.com/,"Jersey City, NJ","$10,000+",$25 - $49 / hr,10 - 49,15%,Jersey City,NJ,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
SprintInnovations,https://www.sprint-in.com/,"London, United Kingdom","$10,000+",$50 - $99 / hr,2 - 9,25%,London,,United Kingdom,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,United Kingdom,GBR,304
ubisend,https://www.ubisend.com,"London, United Kingdom",Undisclosed,Undisclosed,10 - 49,100%,London,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
ElementAI,https://www.elementai.com/en/,"Montreal, Canada",Undisclosed,Undisclosed,50 - 249,100%,Montreal,,Canada,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,Canada,CAN,126
DatawatchAngoss,http://www.angoss.com/,"Toronto, Canada",Undisclosed,Undisclosed,50 - 249,100%,Toronto,,Canada,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,Canada,CAN,126
SoapBoxLabs,http://www.soapboxlabs.com/,"Dublin 8, Ireland",Undisclosed,Undisclosed,10 - 49,100%,Dublin 8,,Ireland,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,Ireland,IRL,8
"SparkCognition,Inc.",https://www.sparkcognition.com/,"Austin, TX",Undisclosed,Undisclosed,50 - 249,100%,Austin,TX,USA,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
BenevolentAI,https://benevolent.ai/,"London, United Kingdom",Undisclosed,Undisclosed,50 - 249,60%,London,,United Kingdom,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,United Kingdom,GBR,304
Callsign,https://www.callsign.com/,"London, United Kingdom",Undisclosed,Undisclosed,50 - 249,60%,London,,United Kingdom,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,United Kingdom,GBR,304
Dessa,https://www.dessa.com,"Toronto, ON, ",Undisclosed,Undisclosed,50 - 249,100%,Toronto,ON,Canada,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,Canada,CAN,126
GraknLabs,https://grakn.ai/,"London, United Kingdom",Undisclosed,Undisclosed,10 - 49,100%,London,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
CleoAI-we'rehiring,https://www.meetcleo.com/,"London, United Kingdom",Undisclosed,Undisclosed,10 - 49,100%,London,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
Sparrho,https://www.sparrho.com/,"London, United Kingdom",Undisclosed,Undisclosed,10 - 49,70%,London,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
Graphcore,https://www.graphcore.ai,"Bristol, United Kingdom",Undisclosed,Undisclosed,50 - 249,100%,Bristol,,United Kingdom,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
DigitalGenius,https://www.digitalgenius.com/,"London, United Kingdom",Undisclosed,Undisclosed,50 - 249,100%,London,,United Kingdom,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
RavelinTechnology,https://www.ravelin.com/,"London, United Kingdom",Undisclosed,Undisclosed,50 - 249,50%,London,,United Kingdom,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,United Kingdom,GBR,304
Wefarm,https://wefarm.org/,"London, United Kingdom",Undisclosed,Undisclosed,10 - 49,100%,London,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
BBOXX,https://www.bboxx.co.uk/,"London, United Kingdom",Undisclosed,Undisclosed,250 - 999,50%,London,,United Kingdom,No informado,No informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,United Kingdom,GBR,304
AcademyofRobotics,http://www.academyofrobotics.co.uk/,"West Sussex, ",Undisclosed,Undisclosed,2 - 9,100%,,,United Kingdom,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
HyperAnna,https://hyperanna.com/,"Pyrmont, Australia",Undisclosed,Undisclosed,10 - 49,100%,Pyrmont,,Australia,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Oceanía,0,Oceania,Australia,AUS,96
MaxwellPlus,https://maxwellplus.com/,"Brisbane City, Australia",Undisclosed,Undisclosed,10 - 49,100%,Brisbane City,,Australia,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Oceanía,0,Oceania,Australia,AUS,96
Faethm,https://faethm.ai/,"Sydney, Australia",Undisclosed,Undisclosed,10 - 49,100%,Sydney,,Australia,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Oceanía,0,Oceania,Australia,AUS,96
Active.ai,https://active.ai,"Singapore, Singapore",Undisclosed,Undisclosed,10 - 49,100%,Singapore,,Singapore,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Asia,0,Asia,Singapore,SGP,24
EnterpriseBot,https://enterprisebot.ai/,"Zug, ",Undisclosed,Undisclosed,10 - 49,100%,Zug,,Switzerland,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,Switzerland,CHE,21
ChatBot,https://www.chatbot.com/,Estados Unidos,Undisclosed,Undisclosed,10 - 49,100%,Estados Unidos,,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
ShieldAI,https://www.shield.ai,"San Diego, California, Estados Unidos",Undisclosed,Undisclosed,10 - 49,100%,San Diego,California,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
LEVERTON,https://www.leverton.ai,"New York, NY",Undisclosed,Undisclosed,50 - 249,100%,New York,NY,USA,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
INSPECTORIO,https://www.inspectorio.com,"Minneapolis, MN",Undisclosed,Undisclosed,50 - 249,100%,Minneapolis,MN,USA,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
Analysts,https://analysts.com,"Burnsville, MN",Undisclosed,Undisclosed,10 - 49,100%,Burnsville,MN,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
CuriousAI,https://thecuriousaicompany.com/,"Helsingfors, Finland",Undisclosed,Undisclosed,10 - 49,100%,Helsingfors,,Finland,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,Finland,FIN,7
Hypergiant,https://www.hypergiant.com/,"Austin, TX",Undisclosed,Undisclosed,50 - 249,100%,Austin,TX,USA,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
VVDNTechnologies,https://www.vvdntech.com/,"San Jose, CA",Undisclosed,Undisclosed,"1,000 - 9,999",25%,San Jose,CA,USA,No informado,No informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
GTSoftware,https://www.gtsoftware.com/,"Sandy Springs, GA",Undisclosed,Undisclosed,50 - 249,50%,Sandy Springs,GA,USA,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,0,North America,USA,USA,917
Klue,https://klue.com/,"Vancouver, Canada",Undisclosed,Undisclosed,10 - 49,100%,Vancouver,,Canada,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,Canada,CAN,126
FanAIInc.,https://www.fanai.io/,"Santa Monica, CA",Undisclosed,Undisclosed,10 - 49,100%,Santa Monica,CA,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
Falkonry,https://falkonry.com/,"Sunnyvale, CA",Undisclosed,Undisclosed,50 - 249,100%,Sunnyvale,CA,USA,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
MyraLabs,https://www.myralabs.com/,"San Francisco, CA",Undisclosed,Undisclosed,2 - 9,100%,San Francisco,CA,USA,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
Dashmote,https://www.dashmote.com/,"Amsterdam, Netherlands",Undisclosed,Undisclosed,50 - 249,50%,Amsterdam,,Netherlands,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,Netherlands,NLD,26
Pro-VigilSurveillanceServices,https://pro-vigil.com/,"San Antonio, TX",Undisclosed,Undisclosed,250 - 999,100%,San Antonio,TX,USA,No informado,No informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
VISUA,http://Visua.com,"Dublin, Ireland",Undisclosed,Undisclosed,10 - 49,100%,Dublin,,Ireland,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,Ireland,IRL,8
HGS-HindujaGlobalSolutions,https://hgs.cx/,"Lisle, IL",Undisclosed,Undisclosed,"10,000+",20%,Lisle,IL,USA,No informado,No informado,10000,10000,Empresa grande /fuera SME,Enterprise,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
Spyne,https://www.spyne.ai/,"Gurugram, India","$1,000+",< $25 / hr,50 - 249,100%,Gurugram,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Asia,2,Asia,India,IND,441
Klangoo,https://klangoo.com,"Hoboken, NJ",Undisclosed,Undisclosed,2 - 9,100%,Hoboken,NJ,USA,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,USA,USA,917
BlueBotics,http://www.bluebotics.com/,"Saint-Sulpice, Switzerland",Undisclosed,Undisclosed,10 - 49,100%,Saint-Sulpice,,Switzerland,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,Switzerland,CHE,21
Picovoice,https://picovoice.ai,"Vancouver, Canada","$10,000+",Undisclosed,10 - 49,100%,Vancouver,,Canada,Informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,1,North America,Canada,CAN,126
Elevate-Global,https://www.elevate-global.biz,"Skopje, North Macedonia","$10,000+",$50 - $99 / hr,10 - 49,60%,Skopje,,North Macedonia,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,North Macedonia,MKD,7
AlemResearch,https://alem.kz/,"Almaty, Kazakhstan","$50,000+",$50 - $99 / hr,10 - 49,60%,Almaty,,Kazakhstan,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,2,Asia,Kazakhstan,KAZ,3
"NEXT-SYSTEMCo.,Ltd.",https://www.next-system.com/en,"Fukuoka, Japan",Undisclosed,Undisclosed,50 - 249,50%,Fukuoka,,Japan,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,0,Asia,Japan,Japan,8
CloverInfotech,https://www.cloverinfotech.com,"Mumbai, India","$5,000+",$25 - $49 / hr,"1,000 - 9,999",60%,Mumbai,,India,Informado,Informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,2,Asia,India,IND,441
T4GLimited,https://www.t4g.com/,"Toronto, Canada",Undisclosed,Undisclosed,250 - 999,60%,Toronto,,Canada,No informado,No informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,0,North America,Canada,CAN,126
ZoneFox,https://www.zonefox.com,"Edinburgh, United Kingdom",Undisclosed,Undisclosed,10 - 49,70%,Edinburgh,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
LixarIT,https://lixar.com/,"Ottawa, Canada",Undisclosed,Undisclosed,250 - 999,40%,Ottawa,,Canada,No informado,No informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,Canada,CAN,126
MayaHeatTransferTechnologies,https://www.mayahtt.com/,"Westmount, Canada",Undisclosed,Undisclosed,50 - 249,50%,Westmount,,Canada,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,0,North America,Canada,CAN,126
Traydstream,https://www.traydstream.com/,"London, United Kingdom",Undisclosed,Undisclosed,10 - 49,60%,London,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,United Kingdom,GBR,304
Adbrain,https://www.adbrain.com/,"London, United Kingdom",Undisclosed,Undisclosed,10 - 49,100%,London,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
Layer6AI,https://layer6.ai/,"Toronto, ON, Canada",Undisclosed,Undisclosed,10 - 49,100%,Toronto,ON,Canada,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,0,North America,Canada,CAN,126
ArriaNLGplc,https://www.arria.com,"Londres, United Kingdom",Undisclosed,Undisclosed,50 - 249,70%,Londres,,United Kingdom,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
BioBeats,https://biobeats.com/,"London, United Kingdom",Undisclosed,Undisclosed,10 - 49,100%,London,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
re:infer,https://reinfer.io/,"London, United Kingdom",Undisclosed,Undisclosed,10 - 49,70%,London,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
JCLARITYLIMITED,https://www.jclarity.com/,"London, United Kingdom",Undisclosed,Undisclosed,2 - 9,100%,London,,United Kingdom,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,0,Europe,United Kingdom,GBR,304
